Initial Speed,Speed Change,Load Torque,Vdc,Sampling Time
0,100,0,500,1
100,100,0,500,1
200,100,0,500,1
300,100,0,500,1
-100,100,0,500,1
-200,100,0,500,1
-300,100,0,500,1
0,-100,0,500,2
100,-100,0,500,2
200,-100,0,500,2
300,-100,0,500,2
-100,-100,0,500,2
-200,-100,0,500,2
-300,-100,0,500,2
0,300,0,550,1
100,300,0,550,1
200,300,0,550,1
300,300,0,550,1
-100,300,0,550,1
-200,300,0,550,1
-300,300,0,550,1
0,-300,0,500,1
100,-300,0,500,1
200,-300,0,500,1
300,-300,0,500,1
-100,-300,0,500,1
-200,-300,0,500,1
-300,-300,0,500,1
0,500,0,500,3
100,500,0,500,3
200,500,0,500,3
300,500,0,500,3
-100,500,0,500,3
-200,500,0,500,3
-300,500,0,500,3
0,-500,0,600,1
100,-500,0,600,1
200,-500,0,600,1
300,-500,0,600,1
-100,-500,0,600,1
-200,-500,0,600,1
-300,-500,0,600,1
0,100,10,500,1
100,100,10,500,1
200,100,10,500,1
300,100,10,500,1
-100,100,10,500,1
-200,100,10,500,1
-300,100,10,500,1
0,-100,10,600,2
100,-100,10,600,2
200,-100,10,600,2
300,-100,10,600,2
-100,-100,10,600,2
-200,-100,10,600,2
-300,-100,10,600,2
0,300,10,500,1
100,300,10,500,1
200,300,10,500,1
300,300,10,500,1
-100,300,10,500,1
-200,300,10,500,1
-300,300,10,500,1
0,-300,10,500,1
100,-300,10,500,1
200,-300,10,500,1
300,-300,10,500,1
-100,-300,10,500,1
-200,-300,10,500,1
-300,-300,10,500,1
0,500,10,500,3
100,500,10,500,3
200,500,10,500,3
300,500,10,500,3
-100,500,10,500,3
-200,500,10,500,3
-300,500,10,500,3
0,-500,10,500,1
100,-500,10,500,1
200,-500,10,500,1
300,-500,10,500,1
-100,-500,10,500,1
-200,-500,10,500,1
-300,-500,10,500,1